MAILLE,,MAILLE,LIBELLE,occurence
CAPILLAIRE_AUTRE,0,CAPILLAIRE_AUTRE,SVC REPARATION AP SH 150 ML,14710
CAPILLAIRE_SHAMPOING,24,CAPILLAIRE_SHAMPOING,SVC PURETE SH 300 ML,19996
CORPS_HYDRA_NOURRI_ET_SOINS,53,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,71684
CORPS_HYDR_LAIT_HUILE,102,CORPS_HYDR_LAIT_HUILE,LAIT FRAMBOISE PN FL50ML,15201
CORPS_MONOI,166,CORPS_MONOI,HUILE SECHE MDT 125 ML,28497
CORPS_SPA_ET_MINCEUR,172,CORPS_SPA_ET_MINCEUR,SVC EXFO GOMMAGE VEG T150ml,27855
DIETETIQUE,196,DIETETIQUE,SOIN COSM ORALE 3X10 CAPS RC2,1
HYG_AUTRES,197,HYG_AUTRES,HUILE DOUCHE TRAD DE HAM. FL200ML,21554
HYG_CULTUREBIO,215,HYG_CULTUREBIO,BIO MIEL DOUCHE 200ML,13630
HYG_HOMME,221,HYG_HOMME,GEL DOUCHE FRAICHEUR 200ML,11167
HYG_JDM,243,HYG_JDM,GD JDM4 LOTUS FL200ML,85199
HYG_MONOI_ET_EDIT_SPEC,284,HYG_MONOI_ET_EDIT_SPEC,MDT SD DES LAGONS 150 ML,63514
HYG_PARFUMEE,305,HYG_PARFUMEE,DEO PARFUME 100ML EVIDENCE,23833
HYG_PLAISIRNAT_BAIN_SAVON,337,HYG_PLAISIRNAT_BAIN_SAVON,CUBE DE BAIN FRAMBOISE PN2 20G,29947
MAQ_AUTRE,426,MAQ_AUTRE,GRANDE BEAUTYBOX 2014 YR,3944
MAQ_LEV_BASPRIX,438,MAQ_LEV_BASPRIX,"RAL MURE 42 LUMINELLE4 3,5G",7333
MAQ_LEV_RAL_HMG,496,MAQ_LEV_RAL_HMG,RAL BRILL CERISE NOIRE52 CN3 3.5G,4471
MAQ_ONGLES,602,MAQ_ONGLES,DISSOLVANT FLACON MANUC CN3 100ML,44855
MAQ_TEINT,721,MAQ_TEINT,PDRE HAL/LEGER01 AX/SOLA CN3 20G,15100
MAQ_YEUX_CLASSIQUE,859,MAQ_YEUX_CLASSIQUE,PORTE MINE NOIR 01 CN3 0.3G,62969
MAQ_YEUX_MASCA_EYEL_FARD,931,MAQ_YEUX_MASCA_EYEL_FARD,MASC SEXYPULP NOIR 01 CN3 9ML,45641
MAQ_YEUX_MASCA_HG,1112,MAQ_YEUX_MASCA_HG,MASCARA VOL VERTIGE NOIR CN3 9ML,32393
MULTIFAMILLES,1118,MULTIFAMILLES,2010 KIT MAQ PDR,30
PARF_EDT,1119,PARF_EDT,EDT FRAMBOISE PN 20ML,24002
PARF_HOMME,1154,PARF_HOMME,EDT VAPO 75ML HOGGAR,16739
PARF_PARFUM,1164,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,39953
SOLAIRE,1240,SOLAIRE,LAIT 3EN1 PROTECTYL AP SOL FL150,61122
VIS_AAAR_DEMAQLOTION,1268,VIS_AAAR_DEMAQLOTION,25 LINGETTES DEFROISSANTES SV,26491
VIS_AAAR_HORS_DEMAQLOTION,1277,VIS_AAAR_HORS_DEMAQLOTION,REPACK AR BIEN JOUR RC2 P 50ml,24419
VIS_AUTRES,1340,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,157336
VIS_BIO,1348,VIS_BIO,BIO NUTR VISAGE CULT BIO2 50ML,3333
VIS_HOMMES,1359,VIS_HOMMES,B.A.R SENSITIVE 100ML,9572
VIS_JEUNE_ET_LEVRE,1370,VIS_JEUNE_ET_LEVRE,GOMM ABRICOT  BTE CROQUER T50,45214
VIS_PUR,1470,VIS_PUR,LINGETTES CALMILLE 2013,61437
