UNIVERS,,UNIVERS,LIBELLE,occurence
CAP_AP SHAMP,0,CAP_AP SHAMP,SVC REPARATION AP SH 150 ML,14758
CAP_SHAMP SPECIFIQUE,6,CAP_SHAMP SPECIFIQUE,SVC PURETE SH 300 ML,20105
CAP_SHAMP TRAITANT,16,CAP_SHAMP TRAITANT,SVC REPARATION SH 300ML,18209
CAP_SHAMP TSCHEVEUX,20,CAP_SHAMP TSCHEVEUX,SVC VOLUME SH 300ML,15197
CAP_TENUE DE LA COIFFURE,35,CAP_TENUE DE LA COIFFURE,SPRAY SCULPTANT 150ML,4666
CAP_TRAITEMENT,41,CAP_TRAITEMENT,HUILE REPARATRICE 150ML,11129
CORPS_EAUX CORPS AUTRES,53,CORPS_EAUX CORPS AUTRES,EAU DE SOIN VEGETALE 100ML,4320
CORPS_EAUX CORPS MONOI,54,CORPS_EAUX CORPS MONOI,MONOI EAU HYDRA PARF FP 125 ML,20588
CORPS_EXFOLIANT CORPS,55,CORPS_EXFOLIANT CORPS,SVC EXFO GOMMAGE VEG T150ml,27903
CORPS_HYDRA NOURRISANT,67,CORPS_HYDRA NOURRISANT,SVC REP LAIT REP T150ML,63864
CORPS_LAIT HUILE AUTRES,83,CORPS_LAIT HUILE AUTRES,LAIT CORPS FRUITS NOIRS 200ML,9770
CORPS_LAIT HUILE MONOI,97,CORPS_LAIT HUILE MONOI,HUILE SECHE MDT 125 ML,28619
CORPS_LAIT HUILE PARFUMS,102,CORPS_LAIT HUILE PARFUMS,LAIT PARF F200 ML EVIDENCE,11257
CORPS_LAIT HUILE PLAISIRNATURE,125,CORPS_LAIT HUILE PLAISIRNATURE,LAIT FRAMBOISE PN FL50ML,15270
CORPS_PRODUITS MINCEUR,151,CORPS_PRODUITS MINCEUR,SERUM CLE VEGETAL MINCEUR  150ML,9723
CORPS_SOIN DES MAINS,161,CORPS_SOIN DES MAINS,SVC CREME QUOTIDIENNE T75ml,72394
CORPS_SOIN PIEDS ET JAMBES,183,CORPS_SOIN PIEDS ET JAMBES,SVC pieds cr nourr T50ml,28881
CORPS_SOINS HAMMAM,191,CORPS_SOINS HAMMAM,MASQUE VIS TRAD DE HAM T100ml,8258
DIETETIQUE,193,DIETETIQUE,SOIN COSM ORALE 3X10 CAPS RC2,1
HYG_BAIN SEL HUILE PERLE,194,HYG_BAIN SEL HUILE PERLE,CUBE DE BAIN FRAMBOISE PN2 20G,30506
HYG_DEO AUTRES,207,HYG_DEO AUTRES,FV CHEVREFEUIL DEO BILLE 50ML,3
HYG_DEO CULTURE BIO,211,HYG_DEO CULTURE BIO,BIO DEO FRAICHEUR BILLE FL50ML,11549
HYG_DEO HOMMES,212,HYG_DEO HOMMES,DEO 100ML   AMBRE NOIR,5878
HYG_DEO JARDINMONDE,221,HYG_DEO JARDINMONDE,DEO JDM4 LOTUS FL50ML,23528
HYG_DEO PARFUMS,231,HYG_DEO PARFUMS,DEO PARFUME 100ML EVIDENCE,23990
HYG_DOUCHE AUTRES,242,HYG_DOUCHE AUTRES,DCHE 2EN1 HAMAMELIS FL300,3573
HYG_DOUCHE CULTUREBIO,249,HYG_DOUCHE CULTUREBIO,BIO MIEL DOUCHE 200ML,13689
HYG_DOUCHE EDT ETE,254,HYG_DOUCHE EDT ETE,GEL DOUCHE ETE 2014 200 ML,25265
HYG_DOUCHE EDT NOEL,256,HYG_DOUCHE EDT NOEL,GM 200ml FRUITS ROUGES,36069
HYG_DOUCHE FRAICHEUR VEG,273,HYG_DOUCHE FRAICHEUR VEG,FRAICHEUR SH DCHE CHEVREF 200,7475
HYG_DOUCHE HAMMAM,278,HYG_DOUCHE HAMMAM,HUILE DOUCHE TRAD DE HAM. FL200ML,21686
HYG_DOUCHE HOMMES,280,HYG_DOUCHE HOMMES,GEL DOUCHE FRAICHEUR 200ML,11307
HYG_DOUCHE JARDINMONDE,290,HYG_DOUCHE JARDINMONDE,GD JDM4 LOTUS FL200ML,85914
HYG_DOUCHE MONOI,321,HYG_DOUCHE MONOI,MDT SD DES LAGONS 150 ML,64400
HYG_DOUCHE PARFUMS,323,HYG_DOUCHE PARFUMS,2013 GD PARFUME F200 ML EVIDENCE,16447
HYG_DOUCHE PLAISIRNATURE,344,HYG_DOUCHE PLAISIRNATURE,GD GOMMANT VANILLE T200 ML,24739
HYG_RASAGE,382,HYG_RASAGE,MOUSSE A RASER SENSITIVE,5871
HYG_SAVONS,385,HYG_SAVONS,GEL LAVANT MAINS F200 FRUITS ROUGES,17464
MAQ_Autres,423,MAQ_Autres,GRANDE BEAUTYBOX 2014 YR,3947
MAQ_LEV AUTRES,435,MAQ_LEV AUTRES,LIPLINER RETRAC RGE FONC32 CN3 2013 0.3G,3633
MAQ_LEV BRILLANT,452,MAQ_LEV BRILLANT,GLOSS GELEE FRUITEE FRAMB PN2 10ML,6565
MAQ_LEV RAL Autres,496,MAQ_LEV RAL Autres,RAL ZERO DEF PISTIL FUSHIA CN3 2g,8
MAQ_LEV RAL Brillance,511,MAQ_LEV RAL Brillance,RAL BRILL CERISE NOIRE52 CN3 3.5G,4473
MAQ_LEV RAL GrdRouge,531,MAQ_LEV RAL GrdRouge,"RAL GRAND RGE VIOL/PROF23 CN3 2013 3,7G",2519
MAQ_LEV RAL Hydr,552,MAQ_LEV RAL Hydr,RAL CR HYD PETIT/MAUVCN3 2009 3.7,2906
MAQ_LEV RAL Lum4,585,MAQ_LEV RAL Lum4,"RAL MURE 42 LUMINELLE4 3,5G",7338
MAQ_ONG AUTRES,599,MAQ_ONG AUTRES,DISSOLVANT FLACON MANUC CN3 100ML,44890
MAQ_ONG Vernis CN,612,MAQ_ONG Vernis CN,VAO OR AUTOMNE14 3ML,6625
MAQ_ONG Vernis LUM,651,MAQ_ONG Vernis LUM,VAO FUCHSIA 13 LUMINELLE4 3ML,14078
MAQ_TEINT Fard a joues,718,MAQ_TEINT Fard a joues,BLUSH NAT MAT/ROSE CN3 7G,6514
MAQ_TEINT Font teint,730,MAQ_TEINT Font teint,FDT 0/DEF BEIG300 MEDIUM CN3 30,7333
MAQ_TEINT Perfect Correcteur,803,MAQ_TEINT Perfect Correcteur,STICK COR ZERO DEF BGE MOYEN02 CN3 1.4G,13084
MAQ_TEINT Poudres,824,MAQ_TEINT Poudres,PDRE HAL/LEGER01 AX/SOLA CN3 20G,15115
MAQ_YEUX Autres,856,MAQ_YEUX Autres,ETINCELL SOLEIL/CUIVR A/T NOEL11 LU3 7ML,1
MAQ_YEUX Crayons,857,MAQ_YEUX Crayons,"CRAY KHOL NOIR 81 LUM4 1,3gr",42421
MAQ_YEUX Eyeliner,905,MAQ_YEUX Eyeliner,FEUTRE LINER NOIR 01 CN3 1.2G,15489
MAQ_YEUX Fard,923,MAQ_YEUX Fard,FAP ENLUMINEUR B LANC NEIGE 2G LUM 4 VPM,4950
MAQ_YEUX Mascara Basic,1068,MAQ_YEUX Mascara Basic,"MASCARA BEAUTE NOIR 81 LUM4 6,5ML",11238
MAQ_YEUX Mascara Elixir,1077,MAQ_YEUX Mascara Elixir,MASCARA SOIN NOIR01 2014 CN3 9ML,6178
MAQ_YEUX Mascara SexyPulp,1080,MAQ_YEUX Mascara SexyPulp,MASC SEXYPULP NOIR 01 CN3 9ML,45666
MAQ_YEUX Mascara Specifique,1083,MAQ_YEUX Mascara Specifique,MASCARA DEPLOYE NOIR 01 CN3 9ML,17414
MAQ_YEUX Mascara Vertige,1098,MAQ_YEUX Mascara Vertige,MASCARA VOL VERTIGE NOIR CN3 9ML,32410
MAQ_YEUX Sourcils,1101,MAQ_YEUX Sourcils,CRAYON SOURCILS BRUN CN3 1.1G,8537
MAQ_YEUX Stylos,1105,MAQ_YEUX Stylos,PORTE MINE NOIR 01 CN3 0.3G,63371
MULTI FAMILLES,1115,MULTI FAMILLES,2010 KIT MAQ PDR,30
PARF_APRES RASAGE,1116,PARF_APRES RASAGE,ARA SPLASH HOGGAR 100ML,5548
PARF_EAUX AUTRES,1119,PARF_EAUX AUTRES,EAU FRAICHE P/API 75ML 2003,32
PARF_EAUX DE COLOGNE,1121,PARF_EAUX DE COLOGNE,FRAICHEUR CHEVREF EDC 125ML,40188
