,UNIVERS,TICKET_ID,counts
0,CAP_AP SHAMP,34662160.17800903,1.0971418921771436
1,CAP_SHAMP SPECIFIQUE,34627580.7004471,1.1073185584026408
2,CAP_SHAMP TRAITANT,34698069.44996329,1.078230543318649
3,CAP_SHAMP TSCHEVEUX,34668601.592673466,1.1158947951634455
4,CAP_TENUE DE LA COIFFURE,34579166.21515097,1.0465256433435786
5,CAP_TRAITEMENT,34632988.53854164,1.089262613195343
6,CORPS_EAUX CORPS AUTRES,34451230.958762884,1.011480787253983
7,CORPS_EAUX CORPS MONOI,34517005.159556955,1.0236491543182158
8,CORPS_EXFOLIANT CORPS,34528409.15650127,1.0431196100487439
9,CORPS_HYDRA NOURRISANT,34692882.21320408,1.1005102040816326
10,CORPS_LAIT HUILE AUTRES,35489044.59721512,1.1319196048373361
11,CORPS_LAIT HUILE MONOI,34551036.929424115,1.0852920594409912
12,CORPS_LAIT HUILE PARFUMS,34819915.83069867,1.0953600213741819
13,CORPS_LAIT HUILE PLAISIRNATURE,35001198.79500231,1.2090997927472267
14,CORPS_PRODUITS MINCEUR,34327871.75352975,1.1666186428468521
15,CORPS_SOIN DES MAINS,34914787.557298966,1.1806712553059349
16,CORPS_SOIN PIEDS ET JAMBES,34647585.74096676,1.2699566122261807
17,CORPS_SOINS HAMMAM,34714556.22240118,1.0831487819609422
18,DIETETIQUE,33072287.0,1.0
19,HYG_BAIN SEL HUILE PERLE,35217048.08414939,1.9781357433065945
20,HYG_DEO AUTRES,33781510.375,1.0
21,HYG_DEO CULTURE BIO,34605076.85131222,1.0382805429864252
22,HYG_DEO HOMMES,34805611.17013192,1.1206506425308458
23,HYG_DEO JARDINMONDE,34591095.333097965,1.194078947368421
24,HYG_DEO PARFUMS,34722612.61447061,1.0997063461852195
25,HYG_DOUCHE AUTRES,34042782.97570027,1.2212113957385684
26,HYG_DOUCHE CULTUREBIO,34534824.353692174,1.2544855364335408
27,HYG_DOUCHE EDT ETE,34814235.0899368,1.0752309188138065
28,HYG_DOUCHE EDT NOEL,36080458.62765761,1.7274493927125507
29,HYG_DOUCHE FRAICHEUR VEG,33983675.130164936,1.2732528481550758
30,HYG_DOUCHE HAMMAM,34609594.73369424,1.1290741221402352
31,HYG_DOUCHE HOMMES,34817713.93000136,1.3035544055563122
32,HYG_DOUCHE JARDINMONDE,34667561.37274019,1.9263364434198922
